Circuit delay: 2364.17 ps

Gate slacks:
NAND-n569: 2600.59 ps
INPUT-n570: 2024.91 ps
NAND-n571: 2600.59 ps
INPUT-n572: 2031.64 ps
NAND-n573: 2600.59 ps
INPUT-n574: 2015.84 ps
NAND-n575: 2600.59 ps
INPUT-n576: 2045.98 ps
NAND-n577: 2600.59 ps
INPUT-n578: 2055.69 ps
NAND-n579: 2600.59 ps
INPUT-n580: 2043.13 ps
NAND-n581: 2600.59 ps
INPUT-n582: 2088.16 ps
NAND-n583: 2600.59 ps
INPUT-n584: 1783.95 ps
NAND-n585: 2600.59 ps
INPUT-n586: 1771.52 ps
NAND-n587: 2600.59 ps
INPUT-n588: 1541.86 ps
NAND-n589: 2600.59 ps
INPUT-n590: 1539.93 ps
NAND-n591: 2600.59 ps
INPUT-n592: 1525.62 ps
NAND-n593: 2600.59 ps
INPUT-n594: 1515.52 ps
NAND-n595: 2600.59 ps
INPUT-n596: 1612.56 ps
NAND-n597: 2600.59 ps
INPUT-n598: 1558.81 ps
NAND-n599: 2600.59 ps
INPUT-n600: 1575.29 ps
NAND-n601: 2600.59 ps
INPUT-n602: 1650.96 ps
NAND-n603: 2600.59 ps
INPUT-n604: 1656.40 ps
NAND-n605: 2600.59 ps
INPUT-n606: 1703.28 ps
NAND-n607: 2600.59 ps
INPUT-n608: 1643.57 ps
NAND-n609: 2600.59 ps
INPUT-n610: 1678.54 ps
NAND-n611: 2600.59 ps
INPUT-n612: 1781.67 ps
NAND-n613: 2600.59 ps
INPUT-n614: 1819.07 ps
NAND-n615: 2600.59 ps
INPUT-n616: 1837.90 ps
NAND-n617: 2600.59 ps
INPUT-n618: 1802.42 ps
NAND-n619: 2600.59 ps
INPUT-n620: 1852.87 ps
NAND-n621: 2600.59 ps
INPUT-n622: 1913.77 ps
NAND-n623: 2600.59 ps
INPUT-n624: 2003.08 ps
NAND-n625: 2600.59 ps
INPUT-n626: 1951.29 ps
NAND-n627: 2600.59 ps
INPUT-n628: 2015.33 ps
NAND-n629: 2600.59 ps
INPUT-n630: 2034.03 ps
NAND-n631: 2600.59 ps
INPUT-n632: 2018.70 ps
NAND-n633: 2600.59 ps
INPUT-n634: 2024.91 ps
NAND-n635: 2600.59 ps
INPUT-n636: 2031.64 ps
NAND-n637: 2600.59 ps
INPUT-n638: 2015.84 ps
