Circuit delay: 0.00 ps

Gate slacks:
NAND-n707: -1.24 ps
NAND-n708: -1.24 ps
NAND-n709: -1.24 ps
NAND-n710: -1.24 ps
NAND-n711: -1.24 ps
NAND-n712: -1.24 ps
NAND-n713: -1.24 ps
NAND-n714: -1.24 ps
NAND-n715: -1.24 ps
AND-n716: -1.17 ps
INPUT-n717: -0.83 ps
NAND-n718: -1.49 ps
INPUT-n719: -0.83 ps
NAND-n720: -1.49 ps
INPUT-n721: -0.83 ps
NAND-n722: -1.49 ps
INPUT-n723: -0.78 ps
NAND-n724: -1.49 ps
INPUT-n725: -0.78 ps
NAND-n726: -1.49 ps
INPUT-n727: -0.73 ps
NAND-n728: -1.49 ps
INPUT-n729: -0.73 ps
NAND-n730: -1.49 ps
INPUT-n731: -0.69 ps
NAND-n732: -1.49 ps
INPUT-n733: -0.69 ps
NAND-n734: -1.49 ps
INPUT-n735: -0.65 ps
NAND-n736: -1.49 ps
INPUT-n737: -0.65 ps
NAND-n738: -1.49 ps
INPUT-n739: -0.60 ps
NAND-n740: -1.49 ps
INPUT-n741: -0.60 ps
NAND-n742: -1.49 ps
INPUT-n743: -0.56 ps
NAND-n744: -1.49 ps
INPUT-n745: -0.56 ps
NAND-n746: -1.49 ps
INPUT-n747: -0.52 ps
NAND-n748: -1.49 ps
INPUT-n749: -0.52 ps
NAND-n750: -1.51 ps
INPUT-n751: -0.48 ps
NAND-n752: -1.51 ps
INPUT-n753: -0.48 ps
NAND-n754: -1.51 ps
INPUT-n755: -0.43 ps
NAND-n756: -1.51 ps
INPUT-n757: -0.43 ps
NAND-n758: -1.51 ps
INPUT-n759: -0.39 ps
NAND-n760: -1.51 ps
INPUT-n761: -0.39 ps
NAND-n762: -1.51 ps
INPUT-n763: -0.35 ps
NAND-n764: -1.50 ps
INPUT-n765: -0.35 ps
NAND-n766: -1.50 ps
INPUT-n767: -0.30 ps
NAND-n768: -1.49 ps
INPUT-n769: -0.30 ps
NAND-n770: -1.49 ps
INPUT-n771: -0.26 ps
NAND-n772: -1.49 ps
INPUT-n773: -0.26 ps
NAND-n774: -1.49 ps
INPUT-n775: -0.21 ps
NAND-n776: -1.49 ps
INPUT-n777: -0.16 ps
NAND-n778: -1.49 ps
INPUT-n779: -0.13 ps
NAND-n780: -1.47 ps
INPUT-n781: -0.89 ps
NAND-n782: -1.33 ps
INPUT-n783: -0.89 ps
NAND-n784: -1.33 ps
INPUT-n785: -0.89 ps
NAND-n786: -1.33 ps
INPUT-n787: -0.92 ps
NAND-n788: -1.33 ps
INPUT-n789: -0.88 ps
NAND-n790: -1.33 ps
INPUT-n791: -0.87 ps
NAND-n792: -1.33 ps
INPUT-n793: -0.83 ps
NAND-n794: -1.33 ps
INPUT-n795: -0.82 ps
NAND-n796: -1.33 ps
INPUT-n797: -0.77 ps
NAND-n798: -1.33 ps
INPUT-n799: -0.76 ps
NAND-n800: -1.33 ps
INPUT-n801: -0.72 ps
NAND-n802: -1.33 ps
INPUT-n803: -0.71 ps
NAND-n804: -1.33 ps
INPUT-n805: -0.67 ps
NAND-n806: -1.33 ps
INPUT-n807: -0.66 ps
NAND-n808: -1.33 ps
INPUT-n809: -0.62 ps
NAND-n810: -1.33 ps
INPUT-n811: -0.61 ps
NAND-n812: -1.33 ps
INPUT-n813: -0.57 ps
NAND-n814: -1.33 ps
INPUT-n815: -0.56 ps
NAND-n816: -1.33 ps
INPUT-n817: -0.52 ps
NAND-n818: -1.33 ps
INPUT-n819: -0.51 ps
NAND-n820: -1.33 ps
INPUT-n821: -0.47 ps
NAND-n822: -1.33 ps
INPUT-n823: -0.46 ps
NAND-n824: -1.33 ps
INPUT-n825: -0.42 ps
NAND-n826: -1.33 ps
INPUT-n827: -0.41 ps
NAND-n828: -1.33 ps
INPUT-n829: -0.37 ps
NAND-n830: -1.33 ps
INPUT-n831: -0.36 ps
NAND-n832: -1.33 ps
INPUT-n833: -0.32 ps
NAND-n834: -1.33 ps
INPUT-n835: -0.31 ps
NAND-n836: -1.33 ps
INPUT-n837: -0.27 ps
NAND-n838: -1.33 ps
INPUT-n839: -0.23 ps
NAND-n840: -1.33 ps
INPUT-n841: -0.22 ps
NAND-n842: -1.33 ps
INPUT-n843: -0.32 ps
NAND-n844: -1.32 ps
INPUT-n845: -0.17 ps
NAND-n846: -1.49 ps
INPUT-n847: -0.77 ps
NAND-n848: -1.49 ps
INPUT-n849: -0.77 ps
NAND-n850: -1.49 ps
INPUT-n851: -0.77 ps
NAND-n852: -1.49 ps
INPUT-n853: -0.72 ps
NAND-n854: -1.55 ps
INPUT-n855: -0.72 ps
NAND-n856: -1.55 ps
INPUT-n857: -0.68 ps
NAND-n858: -1.49 ps
INPUT-n859: -0.68 ps
NAND-n860: -1.49 ps
INPUT-n861: -0.64 ps
NAND-n862: -1.49 ps
INPUT-n863: -0.64 ps
NAND-n864: -1.49 ps
INPUT-n865: -0.59 ps
NAND-n866: -1.49 ps
INPUT-n867: -0.59 ps
NAND-n868: -1.49 ps
INPUT-n869: -0.55 ps
NAND-n870: -1.49 ps
INPUT-n871: -0.55 ps
NAND-n872: -1.49 ps
INPUT-n873: -0.51 ps
NAND-n874: -1.49 ps
INPUT-n875: -0.51 ps
NAND-n876: -1.49 ps
INPUT-n877: -0.47 ps
NAND-n878: -1.49 ps
INPUT-n879: -0.47 ps
NAND-n880: -1.49 ps
INPUT-n881: -0.42 ps
NAND-n882: -1.49 ps
INPUT-n883: -0.42 ps
NAND-n884: -1.49 ps
INPUT-n885: -0.38 ps
NAND-n886: -1.48 ps
INPUT-n887: -0.38 ps
NAND-n888: -1.48 ps
INPUT-n889: -0.34 ps
NAND-n890: -1.48 ps
INPUT-n891: -0.34 ps
NAND-n892: -1.48 ps
INPUT-n893: -0.29 ps
NAND-n894: -1.49 ps
INPUT-n895: -0.29 ps
NAND-n896: -1.49 ps
INPUT-n897: -0.25 ps
NAND-n898: -1.49 ps
INPUT-n899: -0.25 ps
NAND-n900: -1.49 ps
INPUT-n901: -0.21 ps
NAND-n902: -1.55 ps
INPUT-n903: -0.21 ps
NAND-n904: -1.49 ps
INPUT-n905: -0.18 ps
NAND-n906: -1.55 ps
